iter	MultiClass
0	1.075192936
1	1.054713416
2	1.033811344
3	1.016781965
4	0.9990988309
5	0.9817929433
6	0.9604160768
7	0.947562319
8	0.9303074741
9	0.913518162
10	0.894002403
11	0.8760706496
12	0.8616523545
13	0.8530419181
14	0.8401401849
15	0.8249655363
16	0.8113772617
17	0.8035477005
18	0.7929451997
19	0.7817242372
20	0.7693401741
21	0.7588205503
22	0.7503608536
23	0.7363419416
24	0.72674432
25	0.7165301699
26	0.7080405244
27	0.70044112
28	0.6904279434
29	0.6823029282
30	0.6751985281
31	0.6683565728
32	0.660185553
33	0.6540564829
34	0.6496166672
35	0.6419954568
36	0.6380608491
37	0.631863803
38	0.6263651182
39	0.6146971372
40	0.6082190675
41	0.6008748286
42	0.593735409
43	0.5871796372
44	0.5802692336
45	0.5736929458
46	0.5679933189
47	0.5636276854
48	0.5569274744
49	0.5513969542
50	0.5434031215
51	0.5370402307
52	0.5306408537
53	0.5243991742
54	0.5163232458
55	0.5146945296
56	0.5099246072
57	0.5050028581
58	0.5009669176
59	0.4959519499
60	0.4923881308
61	0.487023174
62	0.4839468685
63	0.4774130789
64	0.4740355875
65	0.4701351587
66	0.4661877427
67	0.4596003908
68	0.4537658713
69	0.4496332075
70	0.445786044
71	0.4415136496
72	0.4381740859
73	0.4340472016
74	0.4307159844
75	0.4255122479
76	0.4229870124
77	0.4176098134
78	0.4141368333
79	0.4093582871
80	0.405003856
81	0.4009184985
82	0.3967501077
83	0.3923809872
84	0.3875059086
85	0.383581169
86	0.3782407536
87	0.3733717702
88	0.3699827247
89	0.3667295766
90	0.3639214284
91	0.3607758321
92	0.3585154977
93	0.3542589004
94	0.3523202693
95	0.3498611908
96	0.3473162485
97	0.3438375911
98	0.3403217329
99	0.3351180765
100	0.3317673169
101	0.3276202609
102	0.3251849606
103	0.3227733788
104	0.3194894744
105	0.3156672424
106	0.3149256191
107	0.3135567002
108	0.3107380237
109	0.3070302843
110	0.3048111934
111	0.3020527647
112	0.2984674729
113	0.296838841
114	0.2952049606
115	0.2917678325
116	0.288973192
117	0.2856875412
118	0.2830870167
119	0.2816196124
120	0.2786012884
121	0.2764329199
122	0.273932292
123	0.2720231876
124	0.2694716163
125	0.2665766882
126	0.2641334931
127	0.2613076885
128	0.2588393453
129	0.2561862359
130	0.2553960164
131	0.2526194964
132	0.250057237
133	0.2478760947
134	0.2463625624
135	0.2440816501
136	0.2417781208
137	0.2404550604
138	0.2394999319
139	0.2384144248
140	0.236061378
141	0.2344467356
142	0.2340838396
143	0.2331788951
144	0.2308145056
145	0.22887085
146	0.2271799146
147	0.2251685222
148	0.2240149869
149	0.2223466056
150	0.2210533942
151	0.2203270538
152	0.2196914977
153	0.2179524097
154	0.2161706569
155	0.2156807007
156	0.2144540279
157	0.21341162
158	0.2118931894
159	0.2103993185
160	0.2098834741
161	0.2084178255
162	0.2069553377
163	0.2065761196
164	0.2061555274
165	0.2038448582
166	0.2033796955
167	0.2030134675
168	0.2025740842
169	0.2017735386
170	0.1998673286
171	0.1991194566
172	0.197893666
173	0.1974576651
174	0.1961461002
175	0.1956091258
176	0.19507713
177	0.1936545193
178	0.192280062
179	0.19132734
180	0.1898003112
181	0.1892308009
182	0.1873494245
183	0.1869700355
184	0.1864820565
185	0.186065679
186	0.185700139
187	0.1847583199
188	0.1842914003
189	0.1823840552
190	0.181702811
191	0.1805746358
192	0.1793540606
193	0.1781790527
194	0.176902708
195	0.1761793366
196	0.1748079873
197	0.173982625
198	0.1732901148
199	0.1717636059
200	0.1714166177
201	0.1701907416
202	0.1696305012
203	0.1692837905
204	0.168013849
205	0.1672158985
206	0.1667162529
207	0.1659508947
208	0.1645417627
209	0.163980281
210	0.1625017525
211	0.1613896496
212	0.160151786
213	0.1598522765
214	0.1586288428
215	0.1574910885
216	0.1570845671
217	0.1566128526
218	0.1558217482
219	0.1549069511
220	0.1546135492
221	0.1535545134
222	0.1526275905
223	0.151711817
224	0.1507051717
225	0.1498264047
226	0.1483746283
227	0.1477816563
228	0.1468538568
229	0.1465388438
230	0.1462290648
231	0.1457567884
232	0.1448265753
233	0.1440966143
234	0.1437765404
235	0.1433489741
236	0.1428380918
237	0.1424948203
238	0.1422351292
239	0.1413550416
240	0.1408508381
241	0.139867826
242	0.1390740822
243	0.1383302388
244	0.1381304313
245	0.1368097291
246	0.1361591058
247	0.1356753261
248	0.1347472028
249	0.1340380673
250	0.1336718703
251	0.1328329752
252	0.1321033517
253	0.1318821124
254	0.1310768208
255	0.130796236
256	0.1299132291
257	0.1291675194
258	0.1286335267
259	0.1282952935
260	0.1277807482
261	0.127441223
262	0.1269703303
263	0.1262649475
264	0.1257056679
265	0.12508637
266	0.1242683037
267	0.1241057521
268	0.1234682264
269	0.1228451441
270	0.1224040451
271	0.122154633
272	0.12164071
273	0.1212010183
274	0.1207931047
275	0.1204312704
276	0.1198631407
277	0.1196483998
278	0.1194248942
279	0.1189654175
280	0.1186959833
281	0.1184214821
282	0.1179010792
283	0.1174180661
284	0.116798842
285	0.1162924491
286	0.1157266821
287	0.1150384556
288	0.1145620059
289	0.1142899635
290	0.11367328
291	0.1134944376
292	0.1127166058
293	0.1125970042
294	0.1121621541
295	0.1120180498
296	0.1116579093
297	0.1113343717
298	0.1110398408
299	0.1104486419
300	0.1099423465
301	0.1097790003
302	0.1094857874
303	0.1090132532
304	0.1085891172
305	0.1079716068
306	0.1074784419
307	0.106909004
308	0.1061389032
309	0.1058553742
310	0.1056777426
311	0.1055372506
312	0.1053462849
313	0.105138319
314	0.1049620827
315	0.1047042948
316	0.1044688517
317	0.1042950252
318	0.1038613866
319	0.1036981726
320	0.1034383844
321	0.1032010248
322	0.1030356947
323	0.1026928609
324	0.1025295804
325	0.1023408348
326	0.1017143593
327	0.1014598116
328	0.1008308764
329	0.1006787557
330	0.1002653601
331	0.1001420234
332	0.09996465126
333	0.09983486845
334	0.09955459469
335	0.09927438287
336	0.09891861026
337	0.09855165782
338	0.09844408028
339	0.09831381488
340	0.09740769656
341	0.09725451565
342	0.09680665428
343	0.09656664089
344	0.0963099135
345	0.09568582857
346	0.09532093459
347	0.09522975358
348	0.09514225009
349	0.09499821396
350	0.09402600017
351	0.09387755295
352	0.09380188372
353	0.09345366874
354	0.09301858396
355	0.09292197691
356	0.09264243345
357	0.09227101045
358	0.09213011585
359	0.09195368934
360	0.09156099999
361	0.09119951131
362	0.09107041492
363	0.09095456728
364	0.09085177529
365	0.09067205448
366	0.09045135027
367	0.08994766485
368	0.08968552306
369	0.08948449448
370	0.08937161612
371	0.08926279693
372	0.08916416415
373	0.08888422318
374	0.08875021628
375	0.08834269858
376	0.08810471269
377	0.08760098236
378	0.08723418181
379	0.08699102058
380	0.08662587817
381	0.08643750172
382	0.08611854021
383	0.08591519317
384	0.08534021794
385	0.08490511334
386	0.08458963716
387	0.08435366334
388	0.08392416521
389	0.08346348896
390	0.08324895918
391	0.08317560369
392	0.08309810183
393	0.08301132975
394	0.08243136873
395	0.08228936047
396	0.08220833348
397	0.08207492607
398	0.08178115529
399	0.08144730299
400	0.08113604752
401	0.08086628148
402	0.08070653555
403	0.08060555083
404	0.08010342566
405	0.07996981468
406	0.07962780496
407	0.07927224518
408	0.0788681493
409	0.07844979412
410	0.07809221741
411	0.0779238923
412	0.07750461153
413	0.07727033826
414	0.07721477627
415	0.07696323121
416	0.07664423382
417	0.07636638791
418	0.07614538073
419	0.07607865547
420	0.07601631886
421	0.07568867313
422	0.07544491441
423	0.07525901792
424	0.07500778035
425	0.07465328493
426	0.07433422778
427	0.07424444839
428	0.07418924504
429	0.07387880035
430	0.07378115991
431	0.07365952403
432	0.07351953802
433	0.07329435805
434	0.07310440806
435	0.0727892548
436	0.07251530304
437	0.07225199864
438	0.07195623823
439	0.07179875018
440	0.07172846047
441	0.07163907344
442	0.07139401951
443	0.07104774228
444	0.07081718465
445	0.07072221026
446	0.07066984538
447	0.07062156934
448	0.07053902787
449	0.07025740809
450	0.0699713196
451	0.06965975729
452	0.06942061461
453	0.06915126338
454	0.06906103576
455	0.06883942509
456	0.06859284748
457	0.06835570894
458	0.06808511244
459	0.06780500414
460	0.06764577893
461	0.06750724792
462	0.06736975999
463	0.06729864835
464	0.06711245244
465	0.06697122824
466	0.06680215773
467	0.06651736715
468	0.0664268524
469	0.06637792116
470	0.06612588275
471	0.06608545512
472	0.0658690804
473	0.06554288668
474	0.06548546453
475	0.06536229729
476	0.06530925617
477	0.06524829607
478	0.06521389927
479	0.06495882347
480	0.06482595736
481	0.06463268706
482	0.06442308864
483	0.06434149806
484	0.06429362701
485	0.06417704238
486	0.06397984893
487	0.06394851381
488	0.06370778471
489	0.06351605487
490	0.06321516801
491	0.06298526663
492	0.06265747552
493	0.06231890722
494	0.06221393158
495	0.06201297273
496	0.06196180418
497	0.06170433443
498	0.06158337148
499	0.06149315693
500	0.06129050232
501	0.06124172224
502	0.06115478367
503	0.06082793552
504	0.06065626346
505	0.06045321577
506	0.06022868849
507	0.06009949933
508	0.05990026132
509	0.05970575899
510	0.05957837763
511	0.05940249368
512	0.05927475437
513	0.05912555297
514	0.05907669499
515	0.0588281664
516	0.05876032051
517	0.05856436262
518	0.05852632652
519	0.05826561953
520	0.0582064965
521	0.05807526135
522	0.05789444909
523	0.05786427043
524	0.05780542515
525	0.05767520277
526	0.05760073925
527	0.05750779036
528	0.05734383605
529	0.05725543721
530	0.05719438675
531	0.05708656454
532	0.05689142609
533	0.05682883452
534	0.05667548491
535	0.0565358755
536	0.05634999588
537	0.05617822219
538	0.05597653644
539	0.05591890714
540	0.055564994
541	0.05545208949
542	0.05528544233
543	0.05515009321
544	0.0549118198
545	0.05473180956
546	0.05469208287
547	0.05462072861
548	0.05450248999
549	0.05429802165
550	0.05422206747
551	0.05397037305
552	0.05383217958
553	0.05379152448
554	0.053756755
555	0.05363383441
556	0.05359521855
557	0.05353683111
558	0.05340923429
559	0.05335583857
560	0.05321275494
561	0.05301408088
562	0.05293999555
563	0.05290056706
564	0.05279063957
565	0.05265384791
566	0.05262137074
567	0.05256954373
568	0.05252514492
569	0.05248383217
570	0.05235755709
571	0.05216723476
572	0.05201102131
573	0.05177322673
574	0.05160435079
575	0.05154373114
576	0.05143567037
577	0.0512831812
578	0.05114939802
579	0.05100796286
580	0.05096880738
581	0.05081375348
582	0.05067951986
583	0.05050172532
584	0.05045813769
585	0.05038870258
586	0.05034707807
587	0.05031615937
588	0.05023272294
589	0.05005341329
590	0.04987667339
591	0.04982622607
592	0.04965988048
593	0.04952042504
594	0.04936093051
595	0.04924681226
596	0.04907791877
597	0.04892919617
598	0.04875313952
599	0.04867266357
600	0.0485495271
601	0.04852458244
602	0.04846608875
603	0.04842294707
604	0.048171351
605	0.04801045145
606	0.04796844435
607	0.04792844131
608	0.04777414543
609	0.04764448096
610	0.04762148744
611	0.04758649422
612	0.0474684569
613	0.04743330052
614	0.04727527744
615	0.0472077382
616	0.04709177032
617	0.04705562203
618	0.04698411017
619	0.04675043531
620	0.04667360756
621	0.04662188002
622	0.0465279101
623	0.04650030795
624	0.04646472424
625	0.04632262681
626	0.04618431542
627	0.04615558119
628	0.0460492309
629	0.04601905847
630	0.04591449402
631	0.04582195086
632	0.045788263
633	0.04574202976
634	0.04569034261
635	0.04558348165
636	0.04545960132
637	0.04537191453
638	0.04522745361
639	0.04505088844
640	0.04502892903
641	0.04498391687
642	0.04496180218
643	0.04482779495
644	0.04473162825
645	0.04470476008
646	0.04462280953
647	0.04459498743
648	0.04453204821
649	0.04449493615
650	0.04440623981
651	0.0443833326
652	0.04428101443
653	0.04424720927
654	0.04414391247
655	0.04406635661
656	0.04394471099
657	0.04390207512
658	0.04380879676
659	0.04365753505
660	0.04358422588
661	0.04356180019
662	0.0434179613
663	0.04337535075
664	0.04331393824
665	0.04328604478
666	0.04322667662
667	0.04312640765
668	0.04301708415
669	0.04296047287
670	0.04292906557
671	0.04284708609
672	0.04277639331
673	0.04275464204
674	0.04265452436
675	0.04253679798
676	0.04245048033
677	0.04238253773
678	0.0423024334
679	0.04224607314
680	0.0421168445
681	0.04204320094
682	0.04201817038
683	0.04199608419
684	0.04194312622
685	0.041846695
686	0.04175069702
687	0.04163895569
688	0.04153541473
689	0.04138815842
690	0.041327726
691	0.04130614695
692	0.04127933036
693	0.04117944999
694	0.04106830773
695	0.04103038665
696	0.04093524691
697	0.04090043122
698	0.04078254835
699	0.04065342116
700	0.04055854344
701	0.04052397555
702	0.04049318553
703	0.04043883971
704	0.04041847754
705	0.04033772093
706	0.04030680496
707	0.04024011871
708	0.04018687795
709	0.04006468949
710	0.04000628281
711	0.03995017314
712	0.03990978663
713	0.03987074466
714	0.03979218071
715	0.03975992266
716	0.03973770824
717	0.03967819234
718	0.03960527037
719	0.03958690884
720	0.03951845626
721	0.03939562786
722	0.03929368116
723	0.03919281563
724	0.03917216772
725	0.03911266058
726	0.03901834017
727	0.03892821026
728	0.03889574282
729	0.03881252104
730	0.03875256639
731	0.0386961774
732	0.03860889277
733	0.03854065519
734	0.03850071157
735	0.0384410502
736	0.03840348839
737	0.03836740196
738	0.03835539465
739	0.0382950856
740	0.03825707455
741	0.03822448985
742	0.0381876963
743	0.03808059582
744	0.03803562385
745	0.03793210679
746	0.03789706423
747	0.03787947981
748	0.0377691873
749	0.03767213626
750	0.03761669501
751	0.03755024785
752	0.0374627417
753	0.03741701191
754	0.03733220256
755	0.03728269982
756	0.03723901571
757	0.03717759592
758	0.03710799223
759	0.03707773789
760	0.03700750242
761	0.036977097
762	0.03690316959
763	0.0368569393
764	0.03676694273
765	0.03669208813
766	0.03661513271
767	0.03659149028
768	0.03649172884
769	0.03641837904
770	0.03637735612
771	0.03627106607
772	0.03617559802
773	0.03604931965
774	0.03594283147
775	0.03586607044
776	0.03578944157
777	0.03572899877
778	0.03569660397
779	0.03560820153
780	0.03551881143
781	0.03543197656
782	0.03540829711
783	0.03537708432
784	0.03534639407
785	0.0352580608
786	0.03519827222
787	0.03509682388
788	0.03503205029
789	0.0350127875
790	0.03495849513
791	0.03494188545
792	0.03486540229
793	0.0348346629
794	0.03478722857
795	0.03476373877
796	0.03469329757
797	0.03464542747
798	0.03463169234
799	0.03460485172
800	0.03459012076
801	0.03453672494
802	0.03451124947
803	0.0344329275
804	0.03442118025
805	0.03438544033
806	0.03433353044
807	0.03425245674
808	0.03417292938
809	0.0341578834
810	0.03409709284
811	0.03405197331
812	0.03400755332
813	0.033990279
814	0.03396066815
815	0.03386993641
816	0.03384645221
817	0.03379684411
818	0.03372565558
819	0.0336684257
820	0.03362951597
821	0.03356525365
822	0.03352218594
823	0.03348937089
824	0.0334428067
825	0.0333854481
826	0.03333405622
827	0.03330898709
828	0.03326347199
829	0.0332223503
830	0.03321166945
831	0.03312383983
832	0.03311079828
833	0.03307840854
834	0.03302405676
835	0.03300156963
836	0.0329189564
837	0.03286814936
838	0.03278512207
839	0.0327084521
840	0.03264368561
841	0.03255621652
842	0.03250804241
843	0.03244038621
844	0.03237226754
845	0.03236149724
846	0.03228734511
847	0.03220889207
848	0.03213424029
849	0.0321214366
850	0.0320549635
851	0.03203259343
852	0.03201190327
853	0.03197634114
854	0.03192430204
855	0.03188640899
856	0.03186466073
857	0.03184405974
858	0.03182473659
859	0.03180716334
860	0.03174868148
861	0.0316810229
862	0.03164866664
863	0.03160110387
864	0.03154591551
865	0.03152080243
866	0.03145357494
867	0.03143527977
868	0.03139821158
869	0.03136210853
870	0.0312867087
871	0.03126846941
872	0.03120836332
873	0.03112362593
874	0.03104929532
875	0.03103402481
876	0.03099554715
877	0.03095953535
878	0.03088911478
879	0.03084554397
880	0.03074159697
881	0.03070816579
882	0.03068041363
883	0.03059252626
884	0.03055753541
885	0.03052637042
886	0.03050879444
887	0.03049323324
888	0.03043937505
889	0.03039547508
890	0.0303549194
891	0.03029466169
892	0.03027608222
893	0.03023246433
894	0.030153956
895	0.03014133663
896	0.0300826613
897	0.0300248925
898	0.02999186434
899	0.02993181619
900	0.02988829629
901	0.02987732642
902	0.029820468
903	0.02977982093
904	0.02976730227
905	0.02969612196
906	0.02962042453
907	0.02955718721
908	0.0295327663
909	0.02948662249
910	0.02941477745
911	0.02939020284
912	0.02930468276
913	0.02928997014
914	0.02926245112
915	0.02924814682
916	0.02920782814
917	0.02919128269
918	0.02914348275
919	0.02909750083
920	0.02906381742
921	0.02905360337
922	0.02902319295
923	0.0289888571
924	0.02893451784
925	0.02892068875
926	0.02891013549
927	0.02885870367
928	0.02884453262
929	0.02879017306
930	0.02876814283
931	0.02875030003
932	0.02869819693
933	0.02866533018
934	0.0286268579
935	0.02858146341
936	0.02856682988
937	0.02851883458
938	0.0284909082
939	0.02847283114
940	0.02840727145
941	0.02834450327
942	0.02832288408
943	0.02827017215
944	0.02825496065
945	0.0282081865
946	0.02816094944
947	0.02811355727
948	0.02806367148
949	0.02802762864
950	0.02797871202
951	0.02794516684
952	0.02788822893
953	0.02786310817
954	0.02782299112
955	0.02778957503
956	0.02777416327
957	0.02774352417
958	0.02770764102
959	0.02767869233
960	0.02765874421
961	0.02763366155
962	0.02760400625
963	0.02757608881
964	0.02754726693
965	0.02751684671
966	0.02745887089
967	0.02743309618
968	0.02740168583
969	0.02735252583
970	0.02733859312
971	0.02727181632
972	0.02725619757
973	0.02723460254
974	0.02722567934
975	0.02720960319
976	0.0271434782
977	0.0271257783
978	0.02707687099
979	0.02705813805
980	0.02704851626
981	0.02700117725
982	0.0269850475
983	0.02697294969
984	0.02693898335
985	0.02688984294
986	0.02686390133
987	0.0268507537
988	0.02682271418
989	0.0267737578
990	0.0267327864
991	0.02666329807
992	0.0266156693
993	0.02659817325
994	0.02655526476
995	0.02653171448
996	0.02648184997
997	0.02646967098
998	0.02641011982
999	0.02639336891
