iter	Passed	Remaining
0	4	4310
1	6	3055
2	8	2971
3	11	2901
4	13	2742
5	16	2741
6	18	2615
7	20	2523
8	21	2421
9	23	2335
10	25	2275
11	27	2242
12	29	2212
13	29	2097
14	31	2085
15	34	2133
16	36	2100
17	37	2067
18	39	2039
19	41	2031
20	43	2007
21	44	1994
22	47	2036
23	49	2021
24	51	2000
25	53	2012
26	57	2061
27	59	2051
28	62	2086
29	64	2076
30	66	2066
31	68	2063
32	69	2024
33	70	2009
34	71	1975
35	74	1993
36	76	1986
37	77	1973
38	81	2010
39	83	2001
40	85	1991
41	89	2031
42	90	2024
43	93	2031
44	96	2049
45	98	2045
46	102	2080
47	103	2054
48	105	2054
49	109	2077
50	111	2070
51	114	2094
52	116	2083
53	118	2079
54	120	2072
55	122	2062
56	125	2074
57	127	2066
58	128	2056
59	130	2048
60	132	2032
61	134	2029
62	135	2020
63	137	2014
64	139	2008
65	141	2002
66	143	2001
67	146	2002
68	147	1994
69	149	1987
70	151	1982
71	153	1976
72	155	1968
73	158	1981
74	160	1977
75	162	1971
76	165	1978
77	167	1982
78	170	1982
79	172	1980
80	174	1975
81	175	1968
82	179	1979
83	181	1976
84	183	1970
85	187	1987
86	188	1982
87	191	1985
88	194	1989
89	196	1984
90	199	1997
91	201	1991
92	203	1987
93	206	1991
94	208	1984
95	210	1980
96	212	1976
97	214	1970
98	217	1976
99	218	1970
100	220	1964
101	222	1959
102	224	1953
103	226	1948
104	227	1942
105	229	1938
106	231	1935
107	233	1929
108	236	1930
109	238	1927
110	239	1921
111	241	1916
112	245	1925
113	247	1921
114	249	1917
115	253	1930
116	255	1924
117	259	1937
118	260	1931
119	262	1927
120	264	1923
121	266	1920
122	268	1917
123	270	1914
124	273	1915
125	277	1928
126	280	1925
127	281	1920
128	285	1927
129	287	1923
130	290	1924
131	293	1928
132	295	1924
133	297	1922
134	299	1921
135	301	1917
136	303	1913
137	305	1908
138	307	1903
139	309	1900
140	311	1895
141	312	1890
142	315	1893
143	316	1883
144	318	1878
145	320	1872
146	322	1869
147	324	1868
148	326	1863
149	329	1867
150	331	1864
151	333	1859
152	336	1864
153	338	1859
154	340	1854
155	342	1851
156	344	1847
157	345	1843
158	348	1845
159	350	1841
160	352	1837
161	355	1837
162	358	1838
163	359	1833
164	361	1830
165	363	1826
166	365	1824
167	368	1822
168	369	1818
169	372	1817
170	374	1814
171	376	1812
172	378	1808
173	381	1813
174	384	1811
175	386	1807
176	389	1811
177	391	1808
178	393	1804
179	396	1804
180	398	1801
181	400	1797
182	402	1795
183	403	1790
184	405	1788
185	408	1787
186	410	1783
187	411	1779
188	413	1776
189	415	1772
190	417	1768
191	419	1763
192	421	1761
193	423	1757
194	424	1754
195	427	1754
196	429	1752
197	431	1748
198	435	1752
199	437	1749
200	439	1746
201	443	1751
202	445	1747
203	463	1809
204	469	1819
205	474	1829
206	481	1844
207	488	1859
208	494	1870
209	499	1877
210	504	1885
211	509	1894
212	514	1902
213	520	1912
214	526	1923
215	533	1934
216	539	1946
217	545	1956
218	550	1962
219	555	1971
220	561	1979
221	567	1987
222	573	1998
